epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,236.88,1.68473,3.25632,2.1476,0.00326,0.97872,0.39825,0.18243,1.61192,3.91703,2.19839,0.00026,0.00026,0.00026
2,463.164,1.48373,2.40937,1.89755,0.00326,0.97872,0.50255,0.22207,1.67961,3.87702,2.19622,0.00048654,0.00048654,0.00048654
3,688.306,1.55385,2.29998,1.8893,0.73126,0.19149,0.48373,0.20835,1.71929,3.52905,2.15468,0.00065764,0.00065764,0.00065764
4,911.525,1.56453,2.19125,1.98096,0.45459,0.2662,0.34665,0.11864,1.78043,3.89946,2.45187,0.0007733,0.0007733,0.0007733
5,1133.02,1.54526,2.10009,1.89796,0.6057,0.3617,0.43725,0.16974,1.92696,3.57165,2.48971,0.00083352,0.00083352,0.00083352
6,1364.72,1.55531,1.98457,1.89156,0.14785,0.19149,0.12415,0.04868,2.30039,4.38644,4.00514,0.0008383,0.0008383,0.0008383
7,1589.6,1.51126,1.86595,1.8754,0.1706,0.2766,0.16432,0.05202,2.27371,5.06119,2.74567,0.00078764,0.00078764,0.00078764
8,1812.25,1.47528,1.77764,1.79911,0.92018,0.68085,0.81526,0.39649,1.73177,2.21351,2.01937,0.000614,0.000614,0.000614
9,2055.7,1.42271,1.73371,1.73759,0.94141,0.82979,0.92025,0.48864,1.61307,1.90376,1.9615,0.000416,0.000416,0.000416
10,2296.31,1.3743,1.61175,1.6943,0.9611,0.80851,0.90917,0.46809,1.6333,1.82947,1.97314,0.000218,0.000218,0.000218
